SEL;CODBARRA;DESCRICAO;VRCUSTO;CUSTO_REPOSICAO;VRVENDA;ATIVO;ATIVO_COMPRA;ATACAREJO;COMISSAO;FORNECEDOR;CODDPTO;DEPARTAMENTO;GRUPO;SUBGRUPO;SECAO;UNIDADE;MARKUP;CODFOR;ALIQUOTA;BALANCA;PROMOCAO;VRPROMO;VRCLUBEFIDELIDADE;PIS;TIPOPIS;FATORKG;FATORCX;CODBALANCA;DESCMAX;ESPECIFICACAO;COMPOSICAO;CODIGO;COD_GRUPO;COD_SUBGRUPO;CEST;DATA_ALTERACAO;CUSTO_TOTAL;DATA_ALTERACAO_PRECO;NCM;COMECO_DESCRICAO;IDEMPRESA;DATA_CADASTRO;MARGEM_CALCULADA;GRUPO_PRECO;IDPISCOFINS;DESPIS;IMPRIMIRCOMP;COD_GRUPOPRECO;ATACADO;VRDESCPRECO2_MP;VRDESCPRECO2_PRO;TPDESCPRECO2;QTDE_ESTOQUE;QTDE_DEPOSITO;QTDE_TOTAL;PRODUTO_PAI;DESCRICAO_RESUMIDA;DESCRICAO_WEB;DESCRICAO_BALANCA;QUANTIDADE;ALTERA_DESCRICAO_COTACAO;PERDA;IDMARCA;MARCA;ETQ_IMPRESSA;VASILHAME;COD_FIGURA_FISCAL;FIGURA_FISCAL;POSSUI_RECEITA;FATOR_FILHO;QTDE_ETIQUETAS;VLRPROMOCAO;REALIZA_TROCA;COTACAO;EST_MINIMO;EST_MAXIMO;EST_ATUAL_X_MINIMO;EST_ATUAL_X_MAXIMO;UNIDADE_APRESENTACAO;CONTEUDO_EMBALAGEM;APRESENTACAO_ETIQUETA;VLR_APRESENTACAO;CODOPERADOR;TIPO_PRODUTO;ABC;PERC_ABC;DATA_ABC
T;"7,90E+12";"ACHOC PO ITALAC PCTE 1,01KG";"7,18";"7,18";"14,7";S;S;N;;ANTONIO DE PADUA ALVES E CIA LTDA;4879;PRODUTOS ALIMENTICIOS;CHOCOLATES;CHOCOLATE;;UN;10;10798;T01;N;N;;;S;N;1;1;1;;;N;834515;179;157;;07/05/2024;"5,23";17/04/2024;18069000;A;2;24/04/2018;"51,16";;13;TRIBUTADOS;N;;N;;0;D;10;0;10;;"ACHOC PO ITALAC PCTE 1,01KG";"ACHOC PO ITALAC PCTE 1,01KG";"ACHOC PO ITALAC PCTE 1,01KG";;;N;;;N;N;18;TRIBUTADO 18%;N;;;;S;N;0;0;MAIOR;MAIOR;;1;1;"14,7";625;;;;
T;"7,90E+12";ACUCAR CRISTAL CORURIPE 5KG;13;"13,13";"16,4";S;S;N;;ANTONIO DE PADUA ALVES E CIA LTDA;4879;PRODUTOS ALIMENTICIOS;CESTA BASICA;ACUCAR;;UN;0;10798;STB;N;N;0;;S;N;;6;1;;;N;894444;4882;4886;1710100;07/05/2024;"13,13";06/05/2024;17019900;A;2;06/08/2022;"19,94";;12;ALIQUOTA ZERO;N;;N;;;;120;0;120;;ACUCAR CRISTAL CORURIPE 5KG;ACUCAR CRISTAL CORURIPE 5KG;ACUCAR CRISTAL CORURIPE 5KG;;N;N;;;N;N;6;SUBSTITUICAO;N;1;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"16,4";867;N;;;
T;"7,90E+12";ACUCAR CRISTAL DELTA 5KG;"11,79";"11,79";"16,4";S;S;;;WMB SUPERMERCADOS DO BRASIL LTDA;4879;PRODUTOS ALIMENTICIOS;CESTA BASICA;ACUCAR;;UN;"-84,97";57380;STB;N;N;0;;S;N;;6;1;;;N;562669;4882;4886;1710101;26/04/2024;"11,79";18/04/2024;17019900;A;2;;"28,11";;12;ALIQUOTA ZERO;N;;N;;0;D;276;0;276;;ACUCAR CRISTAL DELTA 5KG;ACUCAR CRISTAL DELTA 5KG;ACUCAR CRISTAL DELTA 5KG;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"16,4";;;;;
T;"7,89E+12";AGUA MINERAL CRYSTAL C/GAS 500ML;"1,12";"1,12";"1,5";S;S;;;ANTONIO DE PADUA ALVES E CIA LTDA;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;"-90,58";10798;STB;N;N;0;;S;N;1;12;1;;;N;798242;6164;4;300500;07/05/2024;"1,02";05/04/2024;22011000;A;2;16/01/2014;"25,33";;13;TRIBUTADOS;N;;N;;;;168;0;168;;AGUA MINERAL CRYSTAL C/GAS 500ML;AGUA MINERAL CRYSTAL C/GAS 500ML;AGUA MINERAL CRYSTAL C/GAS 500ML;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"1,5";443;;;;
T;"7,89E+12";AGUA MINERAL CRYSTAL S/GAS 500ML;"0,87";"0,87";"1,4";S;S;;;ANTONIO DE PADUA ALVES E CIA LTDA;1;DEPARTAMENTO PADRAO;GRUPO PADRAO;SUB GRUPO PADRAO;;UN;12;10798;STB;N;N;0;;S;;1;12;1;;;N;487207;2;0;300500;07/05/2024;"0,79";05/04/2024;22011000;A;2;;"37,86";;13;TRIBUTADOS;N;;N;;;;180;0;180;;AGUA MINERAL CRYSTAL S/GAS 500ML;AGUA MINERAL CRYSTAL S/GAS 500ML;AGUA MINERAL CRYSTAL S/GAS 500ML;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"1,4";;;;;
T;137621;AGUA MINERAL GALAO 20LT;"2,34";3;8;S;S;;;ANTONIO DE PADUA ALVES E CIA LTDA;3677;PEG PAGUE;BALANﾇO LJ 02 2020;PEG PAGUE;;UN;35;10798;STB;N;N;0;;S;;1;1;1;;;N;137621;6164;3679;300100;07/05/2024;"2,58";05/04/2024;22011000;A;2;;"62,5";;13;TRIBUTADOS;N;;N;;;;13;0;13;;AGUA MINERAL GALAO 20LT;AGUA MINERAL GALAO 20LT;AGUA MINERAL GALAO 20LT;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;8;;;;;
T;"7,90E+12";AGUA MINERAL MINEIRO C/GAS 500ML;"1,05";"1,05";"1,16";S;S;N;;DISTRIB BEBIDAS MINEIRO MARRA LTDA;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;0;11526;STB;N;N;0;;S;N;1;12;1;;;N;908247;6164;4;300504;08/04/2024;0;26/01/2024;22011000;A;2;26/01/2024;"9,48";;12;ALIQUOTA ZERO;N;;N;;;;384;0;384;;AGUA MINERAL MINEIRO C/GAS 500ML;AGUA MINERAL MINEIRO C/GAS 500ML;AGUA MINERAL MINEIRO C/GAS 500ML;;N;N;;;N;N;6;SUBSTITUICAO;N;1;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"1,16";867;N;;;
T;"7,90E+12";AGUA SANITARIA POLITRIZ 2 LT;"3,23";"3,58";"4,8";S;S;;;LM IND.COM. IMPORTACAO EXPORT LTDA.;4880;MATERIAL DE LIMPEZA;;;;UN;12;10461;STB;N;N;0;;S;N;;6;1;;;N;822206;;;1100100;17/04/2024;"3,31";05/04/2024;28289011;A;2;01/12/2016;"25,42";;13;TRIBUTADOS;N;;N;;0;D;30;0;30;;AGUA SANITARIA POLITRIZ 2 LT;AGUA SANITARIA POLITRIZ 2 LT;AGUA SANITARIA POLITRIZ 2 LT;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"4,8";85;;;;
T;"7,90E+12";AGUA SANITARIA QBOA 2L;"3,15";"3,15";"6,49";S;S;;;WMB SUPERMERCADOS DO BRASIL LTDA;1;DEPARTAMENTO PADRAO;BALANﾇO LJ 02 2020;SUB GRUPO PADRAO;;UN;12;57380;STB;N;N;"2,99";;S;;1;6;1;;;N;171601;6164;0;1100100;26/04/2024;"3,49";05/04/2024;28289011;A;2;;"51,46";;13;TRIBUTADOS;N;;N;;0;D;12;0;12;;AGUA SANITARIA QBOA 2L;AGUA SANITARIA QBOA 2L;AGUA SANITARIA QBOA 2L;;;N;;;N;N;6;SUBSTITUICAO;N;;;"2,99";S;N;0;0;MAIOR;MAIOR;;1;1;"6,49";;;;;
T;"7,90E+12";AGUA SANITARIA QBOA 5L;"6,64";"6,64";"15,2";S;S;;;COMERCIAL BIRIBA LTDA.;1;DEPARTAMENTO PADRAO;GRUPO PADRAO;SUB GRUPO PADRAO;;UN;12;10130;STB;N;N;0;;S;;1;3;1;;;N;327039;2;4;1100100;09/03/2024;"7,35";05/04/2024;28289011;A;2;;"56,32";;13;TRIBUTADOS;N;;N;;0;D;13;0;13;;AGUA SANITARIA QBOA 5L;AGUA SANITARIA QBOA 5L;AGUA SANITARIA QBOA 5L;;;N;;;N;N;6;SUBSTITUICAO;N;;;0;S;N;0;0;MAIOR;MAIOR;;1;1;"15,2";;;;;
